rate,title,url,cover,id,is_new,cover_x,cover_y,playable,episodes_info
8.9,沉默的羔羊,https://movie.douban.com/subject/1293544/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,1293544,False,2489,3686,True,
8.5,疯狂的石头,https://movie.douban.com/subject/1862151/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,1862151,False,578,764,True,
8.7,倩女幽魂,https://movie.douban.com/subject/1297447/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,1297447,False,1400,2100,True,
8.9,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,1485260,False,1000,1545,True,
8.8,蝴蝶效应,https://movie.douban.com/subject/1292343/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,1292343,False,1383,2048,True,
9.1,黑客帝国,https://movie.douban.com/subject/1291843/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,1291843,False,1554,2222,True,
8.7,驯龙高手,https://movie.douban.com/subject/2353023/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,2353023,False,1290,1920,True,
9.3,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,1291552,False,1500,2096,True,
8.7,傲慢与偏见,https://movie.douban.com/subject/1418200/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,1418200,False,2131,3162,True,
8.7,天使爱美丽,https://movie.douban.com/subject/1292215/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,1292215,False,1280,1920,True,
8.7,血战钢锯岭,https://movie.douban.com/subject/26325320/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,26325320,False,1417,2076,True,
8.2,天才枪手,https://movie.douban.com/subject/27024903/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2501863104.jpg,27024903,False,1071,1500,True,
